"","site","sampling_round","bee","sociality","plant","pollen_units","uID"
"28","URWA",1,"Ceratina_calcarata","fac_social","Penstemon_digitalis",2,"MR10020"
"29","URWA",1,"Andrena_wilkella","Solitary","Apocynum_cannabinum",1,"MR10021"
"30","URWA",1,"Andrena_cressonii","Solitary","Leucanthemum_vulgare",1,"MR10022"
"31","URWA",1,"Lasioglossum_gotham","Eusocial","Apocynum_cannabinum",1,"MR10023"
"32","URWA",1,"Lasioglossum_gotham","Eusocial","Penstemon_digitalis",1,"MR10023"
"33","URWA",1,"Andrena_wilkella","Solitary","Lotus_corniculatus",1,"MR10024"
"34","URWA",1,"Ceratina_calcarata","fac_social","Leucanthemum_vulgare",2,"MR10025"
"35","URWA",1,"Ceratina_calcarata","fac_social","Penstemon_digitalis",2,"MR10025"
"36","URWA",1,"Andrena_pruni","Solitary","Leucanthemum_vulgare",1,"MR10026"
"37","URWA",1,"Andrena_pruni","Solitary","Rubus_pensilvanicus",2,"MR10026"
"38","URWA",1,"Andrena_pruni","Solitary","Rubus_pensilvanicus",1,"MR10027"
"39","URWA",1,"Andrena_rugosa","Solitary","Rubus_pensilvanicus",3,"MR10028"
"40","URWA",1,"Andrena_nuda","Solitary","Rubus_pensilvanicus",1,"MR10029"
"41","URWA",1,"Andrena_hippotes","Solitary","Apocynum_cannabinum",2,"MR10030"
"42","URWA",1,"Andrena_hippotes","Solitary","Swida_racemosa",1,"MR10030"
"43","URWA",1,"Andrena_hippotes","Solitary","Apocynum_cannabinum",1,"MR10031"
"44","URWA",1,"Andrena_hippotes","Solitary","Rubus_pensilvanicus",1,"MR10031"
"45","URWA",1,"Augochlorella_aurata","Eusocial","Achillea_millefolium",1,"MR10032"
"46","URWA",1,"Augochlorella_aurata","Eusocial","Leucanthemum_vulgare",2,"MR10032"
"47","URWA",1,"Andrena_robertsonii","Solitary","Apocynum_cannabinum",1,"MR10034"
"48","URWA",1,"Andrena_robertsonii","Solitary","Leucanthemum_vulgare",1,"MR10034"
"49","URWA",1,"Andrena_robertsonii","Solitary","Swida_racemosa",3,"MR10034"
"50","URWA",1,"Ceratina_dupla","fac_social","Leucanthemum_vulgare",1,"MR10035"
"51","URWA",1,"Andrena_cressonii","Solitary","Leucanthemum_vulgare",2,"MR10037"
"52","URWA",1,"Andrena_commoda","Solitary","Rubus_pensilvanicus",2,"MR10038"
"53","URWA",1,"Andrena_commoda","Solitary","Swida_racemosa",1,"MR10040"
"54","URWA",1,"Andrena_wilkella","Solitary","Apocynum_cannabinum",1,"MR10041"
"55","URWA",1,"Andrena_wilkella","Solitary","Trifolium_campestre",2,"MR10041"
"56","URWA",1,"Andrena_cressonii","Solitary","Leucanthemum_vulgare",5,"MR10042"
"57","URWA",1,"Andrena_cressonii","Solitary","Leucanthemum_vulgare",1,"MR10043"
"58","URWA",1,"Andrena_cressonii","Solitary","Rubus_flagellaris",1,"MR10043"
"59","URWA",1,"Andrena_cressonii","Solitary","Trifolium_campestre",1,"MR10044"
"60","URWA",1,"Andrena_wilmattae","Solitary","Leucanthemum_vulgare",2,"MR10045"
"61","URWA",1,"Andrena_wilmattae","Solitary","Swida_racemosa",2,"MR10045"
"62","URWA",1,"Andrena_cressonii","Solitary","Leucanthemum_vulgare",1,"MR10046"
"63","URWA",1,"Ceratina_calcarata","fac_social","Lotus_corniculatus",1,"MR10048"
"64","URWA",1,"Andrena_wilkella","Solitary","Lotus_corniculatus",2,"MR10049"
"65","URWA",1,"Andrena_wilkella","Solitary","Trifolium_campestre",3,"MR10049"
"66","URWA",1,"Andrena_wilkella","Solitary","Apocynum_cannabinum",1,"MR10050"
"67","URWA",1,"Andrena_wilkella","Solitary","Lotus_corniculatus",1,"MR10050"
"68","URWA",1,"Bombus_griseocollis","Eusocial","Lotus_corniculatus",1,"MR10051"
"69","URWA",1,"Hylaeus_affinis_modestus","Solitary","Penstemon_digitalis",1,"MR10052"
"70","URWA",1,"Hylaeus_affinis_modestus","Solitary","Rosa_multiflora",2,"MR10052"
"71","URWA",1,"Andrena_vicina","Solitary","Apocynum_cannabinum",1,"MR10053"
"72","URWA",1,"Andrena_vicina","Solitary","Leucanthemum_vulgare",1,"MR10054"
"73","URWA",1,"Andrena_vicina","Solitary","Swida_racemosa",1,"MR10054"
"74","URWA",1,"Andrena_cressonii","Solitary","Leucanthemum_vulgare",3,"MR10055"
"75","URWA",1,"Bombus_griseocollis","Eusocial","Lotus_corniculatus",4,"MR10056"
"76","URWA",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",1,"MR10056"
"77","URWA",1,"Bombus_griseocollis","Eusocial","Lotus_corniculatus",1,"MR10057"
"78","URWA",1,"Bombus_griseocollis","Eusocial","Lotus_corniculatus",4,"MR10058"
"79","URWA",1,"Andrena_cressonii","Solitary","Leucanthemum_vulgare",3,"MR10060"
"80","URWA",1,"Andrena_cressonii","Solitary","Leucanthemum_vulgare",1,"MR10061"
"81","URWA",1,"Andrena_nasonii","Solitary","Leucanthemum_vulgare",1,"MR10062"
"82","URWA",1,"Ceratina_calcarata","fac_social","Leucanthemum_vulgare",1,"MR10063"
"83","URWA",1,"Ceratina_calcarata","fac_social","Penstemon_digitalis",2,"MR10063"
"84","IAS",1,"Andrena_krigiana","Solitary","Krigia_biflora",2,"MR10064"
"85","IAS",1,"Ceratina_calcarata","fac_social","Achillea_millefolium",2,"MR10065"
"86","IAS",1,"Andrena_wilkella","Solitary","Trifolium_pratense",1,"MR10066"
"87","IAS",1,"Halictus_ligatus","Eusocial","Achillea_millefolium",2,"MR10067"
"88","IAS",1,"Halictus_ligatus","Eusocial","Krigia_biflora",1,"MR10067"
"89","IAS",1,"Osmia_pumila","Solitary","Penstemon_digitalis",2,"MR10068"
"90","IAS",1,"Osmia_pumila","Solitary","Trifolium_repens",4,"MR10068"
"91","IAS",1,"Hylaeus_affinis_modestus","Solitary","Krigia_biflora",1,"MR10069"
"92","IAS",1,"Osmia_bucephala","Solitary","Penstemon_digitalis",4,"MR10070"
"93","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",2,"MR10071"
"94","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",2,"MR10072"
"95","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",1,"MR10073"
"96","IAS",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",2,"MR10074"
"97","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",1,"MR10075"
"98","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",1,"MR10077"
"99","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",3,"MR10078"
"100","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",2,"MR10079"
"101","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",2,"MR10081"
"102","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",3,"MR10082"
"103","IAS",1,"Bombus_impatiens","Eusocial","Penstemon_digitalis",3,"MR10083"
"104","IAS",1,"Bombus_impatiens","Eusocial","Penstemon_digitalis",3,"MR10084"
"105","IAS",1,"Bombus_impatiens","Eusocial","Penstemon_digitalis",1,"MR10085"
"106","IAS",1,"Agapostemon_virescens","fac_social","Achillea_millefolium",1,"MR10086"
"107","IAS",1,"Agapostemon_virescens","fac_social","Penstemon_digitalis",1,"MR10086"
"108","IAS",1,"Agapostemon_virescens","fac_social","Achillea_millefolium",1,"MR10087"
"109","IAS",1,"Agapostemon_virescens","fac_social","Penstemon_digitalis",2,"MR10087"
"110","IAS",1,"Agapostemon_virescens","fac_social","Tradescantia_ohiensis",2,"MR10087"
"111","IAS",1,"Agapostemon_virescens","fac_social","Trifolium_pratense",1,"MR10087"
"112","IAS",1,"Agapostemon_virescens","fac_social","Krigia_biflora",1,"MR10088"
"113","IAS",1,"Agapostemon_virescens","fac_social","Penstemon_digitalis",5,"MR10088"
"114","IAS",1,"Agapostemon_virescens","fac_social","Tradescantia_ohiensis",1,"MR10088"
"115","IAS",1,"Agapostemon_virescens","fac_social","Trifolium_pratense",1,"MR10088"
"116","IAS",1,"Agapostemon_virescens","fac_social","Achillea_millefolium",1,"MR10089"
"117","IAS",1,"Agapostemon_virescens","fac_social","Penstemon_digitalis",3,"MR10089"
"118","IAS",1,"Agapostemon_virescens","fac_social","Penstemon_digitalis",1,"MR10090"
"119","IAS",1,"Lasioglossum_oceanicum","Eusocial","Achillea_millefolium",2,"MR10092"
"120","IAS",1,"Lasioglossum_oceanicum","Eusocial","Achillea_millefolium",1,"MR10093"
"121","IAS",1,"Lasioglossum_oceanicum","Eusocial","Achillea_millefolium",1,"MR10094"
"122","IAS",1,"Andrena_krigiana","Solitary","Krigia_biflora",3,"MR10096"
"123","IAS",1,"Andrena_krigiana","Solitary","Krigia_biflora",3,"MR10097"
"124","IAS",1,"Halictus_ligatus","Eusocial","Achillea_millefolium",2,"MR10098"
"125","IAS",1,"Andrena_krigiana","Solitary","Krigia_biflora",3,"MR10099"
"126","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",2,"MR10100"
"127","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",3,"MR10101"
"128","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",1,"MR10102"
"129","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",2,"MR10103"
"130","IAS",1,"Bombus_griseocollis","Eusocial","Achillea_millefolium",1,"MR10106"
"131","IAS",1,"Bombus_griseocollis","Eusocial","Pycnanthemum_tenuifolium",1,"MR10106"
"132","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",2,"MR10107"
"133","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",2,"MR10108"
"134","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",1,"MR10109"
"135","IAS",1,"Bombus_impatiens","Eusocial","Achillea_millefolium",1,"MR10111"
"136","IAS",1,"Bombus_impatiens","Eusocial","Penstemon_digitalis",3,"MR10111"
"137","IAS",1,"Bombus_griseocollis","Eusocial","Achillea_millefolium",1,"MR10113"
"138","IAS",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",1,"MR10113"
"139","IAS",1,"Bombus_griseocollis","Eusocial","Trifolium_pratense",1,"MR10113"
"140","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",1,"MR10114"
"141","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",2,"MR10115"
"142","IAS",1,"Bombus_bimaculatus","Eusocial","Trifolium_pratense",1,"MR10115"
"143","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",4,"MR10117"
"144","IAS",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",2,"MR10120"
"145","IAS",1,"Bombus_impatiens","Eusocial","Penstemon_digitalis",2,"MR10121"
"146","IAS",1,"Agapostemon_virescens","fac_social","Penstemon_digitalis",1,"MR10123"
"147","IAS",1,"Agapostemon_virescens","fac_social","Penstemon_digitalis",2,"MR10124"
"148","IAS",1,"Lasioglossum_oceanicum","Eusocial","Achillea_millefolium",1,"MR10125"
"149","IAS",1,"Lasioglossum_oceanicum","Eusocial","Penstemon_digitalis",2,"MR10125"
"150","IAS",1,"Lasioglossum_oceanicum","Eusocial","Trifolium_pratense",1,"MR10127"
"151","IAS",1,"Lasioglossum_oceanicum","Eusocial","Achillea_millefolium",1,"MR10128"
"152","IAS",1,"Lasioglossum_oceanicum","Eusocial","Penstemon_digitalis",1,"MR10128"
"153","Featherbed",1,"Nomada_bidentate_gr",NA,"Rubus_flagellaris",1,"MR10129"
"154","Featherbed",1,"Xylocopa_virginica","fac_social","Penstemon_digitalis",2,"MR10130"
"155","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",4,"MR10131"
"156","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",1,"MR10132"
"157","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",2,"MR10133"
"158","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",3,"MR10134"
"159","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",2,"MR10135"
"160","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",1,"MR10136"
"161","Featherbed",1,"Bombus_vagans","Eusocial","Penstemon_digitalis",2,"MR10137"
"162","Featherbed",1,"Xylocopa_virginica","fac_social","Penstemon_digitalis",3,"MR10139"
"163","Featherbed",1,"Xylocopa_virginica","fac_social","Penstemon_digitalis",3,"MR10140"
"164","Featherbed",1,"Xylocopa_virginica","fac_social","Penstemon_digitalis",1,"MR10141"
"165","Featherbed",1,"Xylocopa_virginica","fac_social","Penstemon_digitalis",4,"MR10142"
"166","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",2,"MR10143"
"167","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",1,"MR10144"
"168","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",2,"MR10146"
"169","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",2,"MR10147"
"170","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",4,"MR10149"
"171","Featherbed",1,"Bombus_vagans","Eusocial","Penstemon_digitalis",1,"MR10150"
"172","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",2,"MR10152"
"173","Featherbed",1,"Bombus_impatiens","Eusocial","Penstemon_digitalis",2,"MR10153"
"174","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",1,"MR10154"
"175","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",4,"MR10155"
"176","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",2,"MR10157"
"177","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",3,"MR10158"
"178","Featherbed",1,"Ceratina_dupla","fac_social","Trifolium_campestre",1,"MR10159"
"179","Featherbed",1,"Ceratina_strenua","fac_social","Penstemon_digitalis",1,"MR10160"
"180","Featherbed",1,"Ceratina_strenua","fac_social","Penstemon_digitalis",2,"MR10162"
"181","Featherbed",1,"Ceratina_strenua","fac_social","Penstemon_digitalis",2,"MR10163"
"182","Featherbed",1,"Ceratina_strenua","fac_social","Rubus_flagellaris",1,"MR10163"
"183","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",2,"MR10165"
"184","Featherbed",1,"Bombus_impatiens","Eusocial","Penstemon_digitalis",2,"MR10166"
"185","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",1,"MR10167"
"186","Featherbed",1,"Bombus_impatiens","Eusocial","Penstemon_digitalis",2,"MR10168"
"187","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",2,"MR10169"
"188","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",3,"MR10170"
"189","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",3,"MR10171"
"190","Featherbed",1,"Ceratina_calcarata","fac_social","Penstemon_digitalis",2,"MR10173"
"191","Featherbed",1,"Ceratina_strenua","fac_social","Penstemon_digitalis",2,"MR10174"
"192","Featherbed",1,"Ceratina_strenua","fac_social","Penstemon_digitalis",2,"MR10176"
"193","Featherbed",1,"Ceratina_strenua","fac_social","Rubus_flagellaris",2,"MR10176"
"194","Featherbed",1,"Hylaeus_mesillae","Solitary","Apocynum_cannabinum",1,"MR10177"
"195","Featherbed",1,"Hylaeus_mesillae","Solitary","Penstemon_digitalis",1,"MR10177"
"196","Featherbed",1,"Ceratina_strenua","fac_social","Rubus_flagellaris",1,"MR10178"
"197","Featherbed",1,"Nomada_denticulata","Solitary","Rubus_allegheniensis",1,"MR10180"
"198","Featherbed",1,"Nomada_denticulata","Solitary","Rubus_flagellaris",1,"MR10180"
"199","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",5,"MR10181"
"200","Featherbed",1,"Andrena_wilkella","Solitary","Vicia_tetrasperma",1,"MR10182"
"201","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",3,"MR10183"
"202","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",4,"MR10184"
"203","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",1,"MR10185"
"204","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",3,"MR10186"
"205","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",5,"MR10187"
"206","Featherbed",1,"Ceratina_strenua","fac_social","Penstemon_digitalis",1,"MR10188"
"207","Featherbed",1,"Ceratina_calcarata","fac_social","Penstemon_digitalis",2,"MR10189"
"208","Featherbed",1,"Ceratina_strenua","fac_social","Leucanthemum_vulgare",1,"MR10190"
"209","Featherbed",1,"Ceratina_strenua","fac_social","Penstemon_digitalis",1,"MR10192"
"210","Featherbed",1,"Ceratina_strenua","fac_social","Rubus_flagellaris",1,"MR10192"
"211","Featherbed",1,"Hylaeus_mesillae","Solitary","Penstemon_digitalis",2,"MR10193"
"212","Featherbed",1,"Ceratina_strenua","fac_social","Leucanthemum_vulgare",1,"MR10194"
"213","Featherbed",1,"Ceratina_mikmaqi","fac_social","Penstemon_digitalis",1,"MR10195"
"214","Featherbed",1,"Ceratina_calcarata","fac_social","Penstemon_digitalis",1,"MR10196"
"215","Featherbed",1,"Ceratina_dupla","fac_social","Penstemon_digitalis",2,"MR10197"
"216","Featherbed",1,"Ceratina_dupla","fac_social","Rubus_flagellaris",1,"MR10197"
"217","Featherbed",1,"Ceratina_strenua","fac_social","Rubus_flagellaris",1,"MR10199"
"218","Featherbed",1,"Ceratina_mikmaqi","fac_social","Penstemon_digitalis",4,"MR10200"
"219","Featherbed",1,"Ceratina_dupla","fac_social","Penstemon_digitalis",1,"MR10202"
"220","Featherbed",1,"Xylocopa_virginica","fac_social","Penstemon_digitalis",2,"MR10203"
"221","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",4,"MR10204"
"222","Featherbed",1,"Xylocopa_virginica","fac_social","Penstemon_digitalis",1,"MR10205"
"223","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",1,"MR10207"
"224","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",3,"MR10209"
"225","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",2,"MR10210"
"226","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",3,"MR10211"
"227","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",3,"MR10212"
"228","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",1,"MR10213"
"229","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",1,"MR10214"
"230","Featherbed",1,"Bombus_impatiens","Eusocial","Penstemon_digitalis",1,"MR10215"
"231","Featherbed",1,"Bombus_impatiens","Eusocial","Penstemon_digitalis",2,"MR10217"
"232","Featherbed",1,"Bombus_vagans","Eusocial","Penstemon_digitalis",1,"MR10219"
"233","Featherbed",1,"Bombus_impatiens","Eusocial","Penstemon_digitalis",3,"MR10220"
"234","Featherbed",1,"Bombus_perplexus","Eusocial","Penstemon_digitalis",1,"MR10221"
"235","Featherbed",1,"Bombus_impatiens","Eusocial","Penstemon_digitalis",3,"MR10222"
"236","Featherbed",1,"Ceratina_dupla","fac_social","Penstemon_digitalis",1,"MR10223"
"237","Featherbed",1,"Ceratina_dupla","fac_social","Rubus_flagellaris",1,"MR10223"
"238","Featherbed",1,"Ceratina_strenua","fac_social","Barbarea_vulgaris",1,"MR10225"
"239","Featherbed",1,"Ceratina_strenua","fac_social","Penstemon_digitalis",3,"MR10225"
"240","Featherbed",1,"Ceratina_strenua","fac_social","Trifolium_campestre",2,"MR10225"
"241","Featherbed",1,"Ceratina_strenua","fac_social","Barbarea_vulgaris",1,"MR10226"
"242","Featherbed",1,"Ceratina_strenua","fac_social","Rubus_flagellaris",1,"MR10227"
"243","Featherbed",1,"Ceratina_strenua","fac_social","Penstemon_digitalis",1,"MR10228"
"244","Featherbed",1,"Ceratina_strenua","fac_social","Rubus_allegheniensis",1,"MR10228"
"245","Featherbed",1,"Ceratina_strenua","fac_social","Penstemon_digitalis",1,"MR10229"
"246","Featherbed",1,"Ceratina_strenua","fac_social","Rubus_flagellaris",1,"MR10229"
"247","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",4,"MR10230"
"248","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",2,"MR10231"
"249","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",3,"MR10232"
"250","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",1,"MR10233"
"251","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",1,"MR10234"
"252","Featherbed",1,"Bombus_perplexus","Eusocial","Penstemon_digitalis",2,"MR10235"
"253","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",1,"MR10236"
"254","Featherbed",1,"Ceratina_dupla","fac_social","Penstemon_digitalis",1,"MR10237"
"255","Featherbed",1,"Ceratina_strenua","fac_social","Rubus_flagellaris",1,"MR10238"
"256","Featherbed",1,"Ceratina_strenua","fac_social","Trifolium_campestre",1,"MR10238"
"257","Featherbed",1,"Ceratina_strenua","fac_social","Penstemon_digitalis",1,"MR10239"
"258","Featherbed",1,"Ceratina_strenua","fac_social","Trifolium_campestre",1,"MR10239"
"259","Featherbed",1,"Ceratina_dupla","fac_social","Penstemon_digitalis",1,"MR10241"
"260","Featherbed",1,"Ceratina_dupla","fac_social","Swida_amomum",2,"MR10241"
"261","Featherbed",1,"Ceratina_dupla","fac_social","Trifolium_pratense",1,"MR10241"
"262","Featherbed",1,"Ceratina_dupla","fac_social","Penstemon_digitalis",1,"MR10242"
"263","Featherbed",1,"Ceratina_strenua","fac_social","Penstemon_digitalis",1,"MR10243"
"264","Featherbed",1,"Ceratina_strenua","fac_social","Penstemon_digitalis",1,"MR10244"
"265","Featherbed",1,"Ceratina_strenua","fac_social","Trifolium_campestre",1,"MR10244"
"266","Featherbed",1,"Ceratina_strenua","fac_social","Trifolium_campestre",1,"MR10246"
"267","Featherbed",1,"Ceratina_strenua","fac_social","Leucanthemum_vulgare",1,"MR10247"
"268","Featherbed",1,"Ceratina_strenua","fac_social","Trifolium_hybridum",1,"MR10247"
"269","Featherbed",1,"Augochlorella_aurata","Eusocial","Swida_amomum",1,"MR10248"
"270","Featherbed",1,"Andrena_nasonii","Solitary","Swida_racemosa",1,"MR10249"
"271","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",2,"MR10251"
"272","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",1,"MR10252"
"273","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",4,"MR10253"
"274","Featherbed",1,"Bombus_griseocollis","Eusocial","Penstemon_digitalis",3,"MR10254"
"275","Featherbed",1,"Bombus_impatiens","Eusocial","Penstemon_digitalis",4,"MR10255"
"276","Featherbed",1,"Bombus_impatiens","Eusocial","Penstemon_digitalis",2,"MR10256"
"277","Featherbed",1,"Ceratina_strenua","fac_social","Penstemon_digitalis",1,"MR10257"
"278","Featherbed",1,"Ceratina_strenua","fac_social","Penstemon_digitalis",3,"MR10259"
"279","Featherbed",1,"Hylaeus_affinis_modestus","Solitary","Penstemon_digitalis",1,"MR10260"
"280","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",4,"MR10261"
"281","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",4,"MR10262"
"282","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",3,"MR10263"
"283","Featherbed",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",1,"MR10264"
"284","Featherbed",1,"Bombus_vagans","Eusocial","Penstemon_digitalis",2,"MR10266"
"285","Featherbed",1,"Bombus_impatiens","Eusocial","Penstemon_digitalis",6,"MR10267"
"286","D&R Greenway",1,"Agapostemon_virescens","fac_social","Trifolium_campestre",2,"MR10268"
"287","D&R Greenway",1,"Halictus_ligatus","Eusocial","Trifolium_campestre",3,"MR10270"
"288","D&R Greenway",1,"Ceratina_dupla","fac_social","Penstemon_digitalis",1,"MR10271"
"289","D&R Greenway",1,"Ceratina_dupla","fac_social","Penstemon_digitalis",1,"MR10272"
"290","D&R Greenway",1,"Ceratina_dupla","fac_social","Penstemon_digitalis",3,"MR10273"
"291","D&R Greenway",1,"Ceratina_dupla","fac_social","Penstemon_digitalis",1,"MR10274"
"292","D&R Greenway",1,"Ceratina_dupla","fac_social","Penstemon_digitalis",3,"MR10275"
"293","D&R Greenway",1,"Ceratina_dupla","fac_social","Erigeron_strigosus",1,"MR10276"
"294","D&R Greenway",1,"Ceratina_dupla","fac_social","Penstemon_digitalis",2,"MR10276"
